sep=	
pf18lt01

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	0.01	0.000	0.00	-0.4
2	0.0	0.01	0.004	0.00	-0.4
3	-0.2	0.01	0.008	-0.02	-0.4
4	0.0	0.01	0.012	0.00	-0.4
5	0.0	0.01	0.016	0.00	-0.4
6	0.0	0.01	0.020	0.00	-0.4
7	0.0	0.01	0.024	0.00	-0.4
8	0.0	0.01	0.028	0.00	-0.4
9	0.0	0.01	0.032	0.00	-0.4
10	0.0	0.01	0.036	0.00	-0.4
11	-0.2	0.01	0.040	-0.02	-0.4
12	0.0	0.01	0.044	0.00	-0.4
13	0.0	0.01	0.048	0.00	-0.4
14	0.0	0.01	0.052	0.00	-0.4
15	0.0	0.01	0.056	0.00	-0.4
16	0.0	0.01	0.060	0.00	-0.4
17	0.2	0.01	0.064	0.02	-0.4
18	0.2	0.01	0.068	0.02	-0.4
19	0.0	0.01	0.072	0.00	-0.4
20	0.0	0.01	0.076	0.00	-0.4
21	0.0	0.01	0.080	0.00	-0.4
22	0.2	0.01	0.084	0.02	-0.4
23	0.0	0.01	0.088	0.00	-0.4
24	0.0	0.01	0.092	0.00	-0.4
25	0.0	0.01	0.096	0.00	-0.4
26	0.0	0.01	0.100	0.00	-0.4
27	0.0	0.01	0.104	0.00	-0.4
28	-0.2	0.01	0.108	-0.02	-0.4
29	0.0	0.01	0.112	0.00	-0.4
30	0.0	0.01	0.116	0.00	-0.4
31	0.0	0.01	0.120	0.00	-0.4
32	0.0	0.01	0.124	0.00	-0.4
33	0.0	0.01	0.128	0.00	-0.4
34	0.0	0.01	0.132	0.00	-0.4
35	0.0	0.01	0.136	0.00	-0.4
36	0.0	0.01	0.140	0.00	-0.4
37	0.0	0.01	0.144	0.00	-0.4
38	0.0	0.01	0.148	0.00	-0.4
39	0.0	0.01	0.152	0.00	-0.4
40	-0.2	0.01	0.156	-0.02	-0.4
41	0.0	0.01	0.160	0.00	-0.4
42	0.0	0.01	0.164	0.00	-0.4
43	0.0	0.01	0.168	0.00	-0.4
44	0.0	0.01	0.172	0.00	-0.4
45	0.0	0.01	0.176	0.00	-0.4
46	0.0	0.01	0.180	0.00	-0.4
47	0.0	0.01	0.184	0.00	-0.4
48	0.0	0.00	0.188	0.00	0.0
49	0.0	0.00	0.192	0.00	0.0
50	0.0	-0.01	0.196	0.00	0.4
51	0.0	-0.02	0.200	0.00	0.6
52	0.0	-0.02	0.204	0.00	0.6
53	0.0	-0.03	0.208	0.00	1.0
54	-0.2	-0.04	0.212	-0.02	1.4
55	-0.2	-0.05	0.216	-0.02	1.6
56	0.0	-0.04	0.220	0.00	1.4
