sep=	
pf16lt02

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	0.0	-0.02	0.000	0.00	0.6
2	0.0	-0.02	0.004	0.00	0.6
3	0.0	-0.02	0.008	0.00	0.6
4	0.0	-0.02	0.012	0.00	0.6
5	0.0	-0.02	0.016	0.00	0.6
6	0.2	-0.02	0.020	0.02	0.6
7	0.0	-0.02	0.024	0.00	0.6
8	0.0	-0.02	0.028	0.00	0.6
9	0.0	-0.02	0.032	0.00	0.6
10	0.0	-0.02	0.036	0.00	0.6
11	0.0	-0.02	0.040	0.00	0.6
12	0.0	-0.02	0.044	0.00	0.6
13	0.2	-0.02	0.048	0.02	0.6
14	0.0	-0.02	0.052	0.00	0.6
15	0.0	-0.02	0.056	0.00	0.6
16	0.0	-0.02	0.060	0.00	0.6
17	0.0	-0.02	0.064	0.00	0.6
18	0.0	-0.02	0.068	0.00	0.6
19	0.2	-0.02	0.072	0.02	0.6
20	0.0	-0.02	0.076	0.00	0.6
21	0.0	-0.02	0.080	0.00	0.6
22	0.0	-0.02	0.084	0.00	0.6
23	0.0	-0.02	0.088	0.00	0.6
24	0.0	-0.02	0.092	0.00	0.6
25	0.0	-0.02	0.096	0.00	0.6
26	0.0	-0.02	0.100	0.00	0.6
27	0.0	-0.02	0.104	0.00	0.6
28	0.0	-0.02	0.108	0.00	0.6
29	0.0	-0.02	0.112	0.00	0.6
30	0.0	-0.02	0.116	0.00	0.6
31	0.0	-0.02	0.120	0.00	0.6
32	-0.2	-0.02	0.124	-0.02	0.6
33	0.0	-0.02	0.128	0.00	0.6
34	0.2	-0.02	0.132	0.02	0.6
35	0.0	-0.02	0.136	0.00	0.6
36	0.2	-0.02	0.140	0.02	0.6
37	0.0	-0.02	0.144	0.00	0.6
38	-0.2	-0.02	0.148	-0.02	0.6
39	0.0	-0.02	0.152	0.00	0.6
40	0.0	-0.02	0.156	0.00	0.6
41	0.0	-0.02	0.160	0.00	0.6
42	0.2	-0.02	0.164	0.02	0.6
43	0.0	-0.02	0.168	0.00	0.6
44	0.2	-0.02	0.172	0.02	0.6
45	0.0	-0.02	0.176	0.00	0.6
46	0.0	-0.02	0.180	0.00	0.6
47	0.0	-0.02	0.184	0.00	0.6
48	0.0	-0.03	0.188	0.00	1.0
49	0.0	-0.03	0.192	0.00	1.0
50	0.0	-0.04	0.196	0.00	1.2
51	0.0	-0.05	0.200	0.00	1.6
52	0.0	-0.05	0.204	0.00	1.6
53	0.0	-0.06	0.208	0.00	1.8
54	0.0	-0.07	0.212	0.00	2.2
55	0.0	-0.08	0.216	0.00	2.4
56	-0.2	-0.08	0.220	-0.02	2.4
57	0.0	-0.09	0.224	0.00	2.8
58	0.0	-0.10	0.228	0.00	3.0
59	0.2	-0.10	0.232	0.02	3.0
60	0.2	-0.11	0.236	0.02	3.4
61	0.2	-0.12	0.240	0.02	3.6
62	0.2	-0.13	0.244	0.02	4.0
63	0.2	-0.13	0.248	0.02	4.0
64	-0.2	-0.14	0.252	-0.02	4.2
65	-0.2	-0.15	0.256	-0.02	4.6
66	0.0	-0.15	0.260	0.00	4.6
67	0.2	-0.16	0.264	0.02	4.8
68	0.2	-0.17	0.268	0.02	5.2
69	0.0	-0.17	0.272	0.00	5.2
70	0.0	-0.18	0.276	0.00	5.4
71	0.0	-0.19	0.280	0.00	5.8
