sep=	
pf19mt03

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	-0.2	0.00	0.000	-0.04	0.0
2	-0.2	0.00	0.004	-0.04	0.0
3	0.0	0.00	0.008	0.00	0.0
4	0.0	0.00	0.012	0.00	0.0
5	0.0	0.00	0.016	0.00	0.0
6	0.0	0.00	0.020	0.00	0.0
7	0.0	0.00	0.024	0.00	0.0
8	0.2	0.00	0.028	0.04	0.0
9	0.0	0.00	0.032	0.00	0.0
10	0.0	0.00	0.036	0.00	0.0
11	-0.2	0.00	0.040	-0.04	0.0
12	0.0	0.00	0.044	0.00	0.0
13	-0.2	0.00	0.048	-0.04	0.0
14	0.0	0.00	0.052	0.00	0.0
15	0.2	0.00	0.056	0.04	0.0
16	0.0	0.00	0.060	0.00	0.0
17	0.0	0.00	0.064	0.00	0.0
18	0.0	0.00	0.068	0.00	0.0
19	0.0	0.00	0.072	0.00	0.0
20	0.0	0.00	0.076	0.00	0.0
21	0.0	0.00	0.080	0.00	0.0
22	0.0	0.00	0.084	0.00	0.0
23	0.0	0.00	0.088	0.00	0.0
24	0.0	0.00	0.092	0.00	0.0
25	0.0	0.00	0.096	0.00	0.0
26	-0.2	0.00	0.100	-0.04	0.0
27	0.0	0.00	0.104	0.00	0.0
28	-0.2	0.00	0.108	-0.04	0.0
29	0.0	0.00	0.112	0.00	0.0
30	0.0	0.00	0.116	0.00	0.0
31	0.0	0.00	0.120	0.00	0.0
32	0.0	0.00	0.124	0.00	0.0
33	0.0	0.00	0.128	0.00	0.0
34	0.0	0.00	0.132	0.00	0.0
35	-0.2	0.00	0.136	-0.04	0.0
36	0.0	0.00	0.140	0.00	0.0
37	0.0	0.00	0.144	0.00	0.0
38	0.0	0.00	0.148	0.00	0.0
39	0.0	0.00	0.152	0.00	0.0
40	0.0	0.00	0.156	0.00	0.0
41	0.0	0.00	0.160	0.00	0.0
42	0.0	0.00	0.164	0.00	0.0
43	0.0	0.00	0.168	0.00	0.0
44	0.0	0.00	0.172	0.00	0.0
45	0.0	0.00	0.176	0.00	0.0
46	0.0	0.00	0.180	0.00	0.0
47	-0.2	0.00	0.184	-0.04	0.0
48	0.0	-0.01	0.188	0.00	0.4
49	0.0	-0.01	0.192	0.00	0.4
50	0.0	-0.02	0.196	0.00	0.8
51	-0.4	-0.03	0.200	-0.08	1.2
52	0.0	-0.03	0.204	0.00	1.2
53	0.0	-0.04	0.208	0.00	1.4
54	0.0	-0.05	0.212	0.00	1.8
55	0.2	-0.06	0.216	0.04	2.2
56	0.0	-0.06	0.220	0.00	2.2
57	0.4	-0.07	0.224	0.08	2.6
58	0.0	-0.08	0.228	0.00	3.0
59	-0.2	-0.08	0.232	-0.04	3.0
60	-0.2	-0.09	0.236	-0.04	3.4
61	-0.2	-0.10	0.240	-0.04	3.6
62	0.0	-0.10	0.244	0.00	3.6
63	-0.2	-0.11	0.248	-0.04	4.0
64	0.0	-0.12	0.252	0.00	4.4
65	0.0	-0.13	0.256	0.00	4.8
66	0.0	-0.13	0.260	0.00	4.8
67	0.0	-0.14	0.264	0.00	5.2
68	0.0	-0.15	0.268	0.00	5.6
69	-0.2	-0.15	0.272	-0.04	5.6
70	-0.2	-0.16	0.276	-0.04	6.0
71	0.0	-0.17	0.280	0.00	6.2
72	-0.2	-0.18	0.284	-0.04	6.6
73	-0.2	-0.18	0.288	-0.04	6.6
74	0.0	-0.19	0.292	0.00	7.0
75	0.0	-0.20	0.296	0.00	7.4
76	0.2	-0.20	0.300	0.04	7.4
77	0.2	-0.21	0.304	0.04	7.8
78	0.0	-0.22	0.308	0.00	8.2
79	0.0	-0.22	0.312	0.00	8.2
80	0.0	-0.23	0.316	0.00	8.4
81	0.0	-0.24	0.320	0.00	8.8
82	0.0	-0.25	0.324	0.00	9.2
83	0.0	-0.25	0.328	0.00	9.2
84	-0.6	-0.26	0.332	-0.12	9.6
85	-0.2	-0.27	0.336	-0.04	10.0
86	0.0	-0.27	0.340	0.00	10.0
87	0.0	-0.28	0.344	0.00	10.4
88	0.0	-0.29	0.348	0.00	10.8
89	0.0	-0.29	0.352	0.00	10.8
90	0.0	-0.30	0.356	0.00	11.0
91	0.0	-0.31	0.360	0.00	11.4
92	0.0	-0.32	0.364	0.00	11.8
93	0.0	-0.32	0.368	0.00	11.8
94	0.0	-0.33	0.372	0.00	12.2
95	0.0	-0.34	0.376	0.00	12.6
96	-0.2	-0.34	0.380	-0.04	12.6
97	0.2	-0.35	0.384	0.04	13.0
98	-0.4	-0.36	0.388	-0.08	13.2
99	0.0	-0.36	0.392	0.00	13.2
100	0.0	-0.37	0.396	0.00	13.6
101	0.0	-0.38	0.400	0.00	14.0
102	-0.2	-0.39	0.404	-0.04	14.4
103	0.2	-0.39	0.408	0.04	14.4
104	0.0	-0.40	0.412	0.00	14.8
105	0.0	-0.41	0.416	0.00	15.2
106	-0.2	-0.41	0.420	-0.04	15.2
