sep=	
pf16cp02

System Information:
IntelliMESUR Version: 2.2.1
Test Frame Model: F505
Test Frame Serial Number: 4418651
Test Frame Capacity: 500 lbF / 2.2 kN
Test Frame Firmware Version: 1.00.14
Force Sensor Model: FS05-100
Force Sensor Capacity: 500 N
Force Sensor Resolution: 0.2 N
Force Sensor Serial Number: 4425350
Calibration Date: Apr 29, 2024
Calibration Due Date: Apr 29, 2025

Reading	Load [N]	Distance [mm]	Time [s]	Stress [MPa]	Strain [%]	
1	-0.2	-0.01	0.000	-0.04	0.4
2	-0.2	-0.01	0.004	-0.04	0.4
3	-0.2	-0.01	0.008	-0.04	0.4
4	0.0	-0.01	0.012	0.00	0.4
5	-0.2	-0.01	0.016	-0.04	0.4
6	-0.2	-0.01	0.020	-0.04	0.4
7	-0.4	-0.01	0.024	-0.08	0.4
8	-0.2	-0.01	0.028	-0.04	0.4
9	-0.2	-0.01	0.032	-0.04	0.4
10	-0.2	-0.01	0.036	-0.04	0.4
11	-0.2	-0.01	0.040	-0.04	0.4
12	-0.2	-0.01	0.044	-0.04	0.4
13	0.0	-0.01	0.048	0.00	0.4
14	-0.2	-0.01	0.052	-0.04	0.4
15	-0.2	-0.01	0.056	-0.04	0.4
16	0.0	-0.01	0.060	0.00	0.4
17	-0.2	-0.01	0.064	-0.04	0.4
18	-0.2	-0.01	0.068	-0.04	0.4
19	-0.2	-0.01	0.072	-0.04	0.4
20	-0.2	-0.01	0.076	-0.04	0.4
21	-0.2	-0.01	0.080	-0.04	0.4
22	-0.2	-0.01	0.084	-0.04	0.4
23	-0.2	-0.01	0.088	-0.04	0.4
24	-0.2	-0.01	0.092	-0.04	0.4
25	-0.2	-0.01	0.096	-0.04	0.4
26	-0.2	-0.01	0.100	-0.04	0.4
27	-0.2	-0.01	0.104	-0.04	0.4
28	-0.2	-0.01	0.108	-0.04	0.4
29	-0.2	-0.01	0.112	-0.04	0.4
30	-0.2	-0.01	0.116	-0.04	0.4
31	-0.2	-0.01	0.120	-0.04	0.4
32	-0.2	-0.01	0.124	-0.04	0.4
33	-0.2	-0.01	0.128	-0.04	0.4
34	-0.2	-0.01	0.132	-0.04	0.4
35	-0.2	-0.01	0.136	-0.04	0.4
36	-0.2	-0.01	0.140	-0.04	0.4
37	-0.4	-0.01	0.144	-0.08	0.4
38	-0.2	-0.01	0.148	-0.04	0.4
39	-0.2	-0.01	0.152	-0.04	0.4
40	-0.2	-0.01	0.156	-0.04	0.4
41	-0.2	-0.01	0.160	-0.04	0.4
42	-0.2	-0.01	0.164	-0.04	0.4
43	-0.2	-0.01	0.168	-0.04	0.4
44	-0.2	-0.01	0.172	-0.04	0.4
45	-0.2	-0.01	0.176	-0.04	0.4
46	-0.2	-0.01	0.180	-0.04	0.4
47	-0.2	-0.01	0.184	-0.04	0.4
48	0.0	-0.02	0.188	0.00	0.8
49	-0.2	-0.03	0.192	-0.04	1.2
50	-0.2	-0.04	0.196	-0.04	1.6
51	0.0	-0.04	0.200	0.00	1.6
52	-0.2	-0.05	0.204	-0.04	2.0
53	-0.2	-0.06	0.208	-0.04	2.4
54	-0.2	-0.07	0.212	-0.04	2.8
55	-0.2	-0.07	0.216	-0.04	2.8
56	0.2	-0.08	0.220	0.04	3.2
57	-0.2	-0.09	0.224	-0.04	3.6
58	-0.2	-0.09	0.228	-0.04	3.6
59	-0.2	-0.10	0.232	-0.04	4.0
60	-0.2	-0.11	0.236	-0.04	4.4
61	-0.2	-0.11	0.240	-0.04	4.4
62	-0.2	-0.12	0.244	-0.04	4.8
63	-0.2	-0.13	0.248	-0.04	5.2
64	-0.2	-0.14	0.252	-0.04	5.6
65	-0.2	-0.14	0.256	-0.04	5.6
66	-0.2	-0.15	0.260	-0.04	6.0
67	-0.2	-0.16	0.264	-0.04	6.4
68	-0.2	-0.16	0.268	-0.04	6.4
69	-0.2	-0.17	0.272	-0.04	6.8
70	0.0	-0.18	0.276	0.00	7.2
71	0.2	-0.19	0.280	0.04	7.6
72	0.2	-0.19	0.284	0.04	7.6
73	-0.2	-0.20	0.288	-0.04	8.0
74	0.0	-0.21	0.292	0.00	8.4
75	-0.2	-0.21	0.296	-0.04	8.4
76	0.0	-0.22	0.300	0.00	8.8
77	-0.2	-0.23	0.304	-0.04	9.2
78	-0.2	-0.23	0.308	-0.04	9.2
79	-0.2	-0.24	0.312	-0.04	9.6
80	-0.4	-0.25	0.316	-0.08	10.0
81	-0.2	-0.26	0.320	-0.04	10.4
82	-0.2	-0.26	0.324	-0.04	10.4
83	-0.2	-0.27	0.328	-0.04	10.8
84	-0.2	-0.28	0.332	-0.04	11.2
85	-0.4	-0.28	0.336	-0.08	11.2
86	-0.2	-0.29	0.340	-0.04	11.6
87	-0.4	-0.30	0.344	-0.08	12.0
88	-0.2	-0.31	0.348	-0.04	12.4
89	-0.2	-0.31	0.352	-0.04	12.4
90	-0.2	-0.32	0.356	-0.04	12.8
91	-0.2	-0.33	0.360	-0.04	13.2
92	-0.2	-0.33	0.364	-0.04	13.2
93	-0.4	-0.34	0.368	-0.08	13.6
94	-0.4	-0.35	0.372	-0.08	14.0
95	-0.2	-0.35	0.376	-0.04	14.0
96	-0.4	-0.36	0.380	-0.08	14.4
97	-0.2	-0.37	0.384	-0.04	14.8
98	-0.2	-0.38	0.388	-0.04	15.2
99	-0.2	-0.38	0.392	-0.04	15.2
100	-0.2	-0.39	0.396	-0.04	15.6
101	-0.2	-0.40	0.400	-0.04	16.0
102	-0.2	-0.39	0.404	-0.04	15.6
103	-0.4	-0.40	0.408	-0.08	16.0
104	-0.2	-0.41	0.412	-0.04	16.4
105	-0.2	-0.41	0.416	-0.04	16.4
106	-0.2	-0.42	0.420	-0.04	16.8
107	-0.2	-0.43	0.424	-0.04	17.2
108	-0.2	-0.44	0.428	-0.04	17.6
109	-0.2	-0.44	0.432	-0.04	17.6
110	0.4	-0.45	0.436	0.08	18.0
111	-0.2	-0.46	0.440	-0.04	18.4
112	-0.2	-0.46	0.444	-0.04	18.4
113	0.0	-0.47	0.448	0.00	18.8
114	-0.2	-0.48	0.452	-0.04	19.2
115	0.0	-0.49	0.456	0.00	19.6
116	-0.2	-0.49	0.460	-0.04	19.6
117	-0.2	-0.50	0.464	-0.04	20.0
118	-0.2	-0.51	0.468	-0.04	20.4
119	-0.2	-0.51	0.472	-0.04	20.4
120	-0.2	-0.52	0.476	-0.04	20.8
121	-0.2	-0.53	0.480	-0.04	21.2
122	-0.2	-0.53	0.484	-0.04	21.2
123	-0.2	-0.54	0.488	-0.04	21.6
124	-0.2	-0.55	0.492	-0.04	22.0
125	-0.2	-0.56	0.496	-0.04	22.4
126	-0.4	-0.56	0.500	-0.08	22.4
127	-0.4	-0.57	0.504	-0.08	22.8
128	-0.2	-0.58	0.508	-0.04	23.2
129	-0.2	-0.58	0.512	-0.04	23.2
