Axial Compression Test-Jun-21-2024-03-08-46-PM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
1,0,-0.01,0,0,0.5
2,-0.2,-0.01,0.004,-0.1,0.5
3,0,-0.01,0.008,0,0.5
4,0,-0.01,0.012,0,0.5
5,0,-0.01,0.016,0,0.5
6,0,-0.01,0.02,0,0.5
7,0.2,-0.01,0.024,0.1,0.5
8,0,-0.01,0.028,0,0.5
9,0,-0.01,0.032,0,0.5
10,0,-0.01,0.036,0,0.5
11,0,-0.01,0.04,0,0.5
12,-0.2,-0.01,0.044,-0.1,0.5
13,0,-0.01,0.048,0,0.5
14,0,-0.01,0.052,0,0.5
15,0,-0.01,0.056,0,0.5
16,0,-0.01,0.06,0,0.5
17,0,-0.01,0.064,0,0.5
18,0,-0.01,0.068,0,0.5
19,0,-0.01,0.072,0,0.5
20,0.2,-0.01,0.076,0.1,0.5
21,-0.2,-0.01,0.08,-0.1,0.5
22,0,-0.01,0.084,0,0.5
23,0,-0.01,0.088,0,0.5
24,0.2,-0.01,0.092,0.1,0.5
25,0,-0.01,0.096,0,0.5
26,0.2,-0.01,0.1,0.1,0.5
27,0,-0.01,0.104,0,0.5
28,0,-0.01,0.108,0,0.5
29,0,-0.01,0.112,0,0.5
30,0,-0.01,0.116,0,0.5
31,0.2,-0.01,0.12,0.1,0.5
32,0,-0.01,0.124,0,0.5
33,0,-0.01,0.128,0,0.5
34,0,-0.01,0.132,0,0.5
35,0,-0.01,0.136,0,0.5
36,-0.2,-0.01,0.14,-0.1,0.5
37,0,-0.01,0.144,0,0.5
38,0,-0.01,0.148,0,0.5
39,0,-0.01,0.152,0,0.5
40,0,-0.01,0.156,0,0.5
41,0,-0.01,0.16,0,0.5
42,0,-0.01,0.164,0,0.5
43,0,-0.01,0.168,0,0.5
44,0,-0.01,0.172,0,0.5
45,0,-0.01,0.176,0,0.5
46,0.2,-0.01,0.18,0.1,0.5
47,0,-0.01,0.184,0,0.5
48,0.2,-0.01,0.188,0.1,0.5
49,0,-0.02,0.192,0,1
50,-0.2,-0.02,0.196,-0.1,1
51,0,-0.03,0.2,0,1.5
52,0,-0.04,0.204,0,2
53,0,-0.04,0.208,0,2
54,-0.2,-0.05,0.212,-0.1,2.5
55,-0.2,-0.06,0.216,-0.1,3
56,-0.2,-0.06,0.22,-0.1,3
57,0,-0.07,0.224,0,4
58,-0.2,-0.08,0.228,-0.1,4.5
59,0,-0.09,0.232,0,5
60,0,-0.09,0.236,0,5
61,0,-0.1,0.24,0,5.5
62,0,-0.11,0.244,0,6
63,0,-0.12,0.248,0,6.5
64,0,-0.12,0.252,0,6.5
65,0,-0.13,0.256,0,7
66,0.2,-0.14,0.26,0.1,7.5
67,-0.2,-0.14,0.264,-0.1,7.5
68,0,-0.15,0.268,0,8
69,0.2,-0.16,0.272,0.1,8.5
