name,method,calculation,slope,score,strain,rsquared,inconclusive
pf01CP1,inflection,minimum score,131.89593309060967,0.2356234147861679,0.0779,0.8021163226415233,FALSE
pf01CP2,inflection,minimum score,165.08644504242704,0.3139326190318578,0.0434,0.8021163226415233,FALSE
pf01CP3,fds,minimum score,76.09402569746541,0.17744156143850962,0.037700000000000004,0.8021163226415233,FALSE
pf01CP4,fds,minimum score,151.743224239382,0.2912750663007973,0.054200000000000005,0.8021163226415233,FALSE
pf01LT1,inflection,minimum score,43.27426831529172,0.3370479272170741,0.08220000000000001,0.8021163226415233,FALSE
pf01MT1,fds,median strain,103.9520443568693,0.2857341832088173,0.0761,0.8021163226415233,FALSE
pf01MT2,inflection,minimum score,172.0718126504868,0.4542391941333159,0.0533,0.8021163226415233,FALSE
pf01MT3,fds,minimum score,121.79281492244473,0.27326286624175883,0.0873,0.8021163226415233,FALSE
pf01UT1,inflection,median strain,191.7661392687973,0.4454358055384552,0.0438,0.8021163226415233,FALSE
pf01UT2,fds,median strain,146.6796954193684,0.29795534396125306,0.098,0.8021163226415233,FALSE
pf01UT3,inflection,minimum score,218.39210116171017,0.4970941387815708,0.0465,0.8021163226415233,FALSE
pf01UT4,fds,minimum score,143.5068385147279,0.27298849261480057,0.053000000000000005,0.8021163226415233,FALSE
pf02CP1,inflection,minimum score,83.12179352276523,0.3348958511500087,0.1278,0.8021163226415233,FALSE
pf02CP2,inflection,minimum score,146.80592046224544,0.370163828057346,0.060500000000000005,0.8021163226415233,FALSE
pf02LT1,fds,minimum score,155.99315530700542,0.39425816837380306,0.045000000000000005,0.8021163226415233,FALSE
pf02LT2,fds,minimum score,137.27870738516066,0.4161872896520221,0.0495,0.8021163226415233,FALSE
pf02LT3,inflection,minimum score,155.55286408581497,0.43920392286757787,0.0408,0.8021163226415233,FALSE
pf02MT1,fds,median strain,101.19258068417346,0.5384473788137061,0.0558,0.8021163226415233,FALSE
pf02MT2,fds,minimum score,97.36379618443112,0.31493964853119166,0.0546,0.8021163226415233,FALSE
pf02MT3,fds,minimum score,146.52209729040234,0.1991112717303256,0.0658,0.8021163226415233,FALSE
pf02MT4,fds,minimum score,187.05282977237118,0.5515202724100934,0.032600000000000004,0.8021163226415233,FALSE
pf02UT1,inflection,minimum score,215.3394869929544,0.3534543621724894,0.08,0.8021163226415233,FALSE
pf02UT2,inflection,minimum score,197.85134296205712,0.3899382561754621,0.0703,0.8021163226415233,FALSE
pf02UT3,max,max,422.8117089311761,0.7880510449656428,0.1587,0.8021163226415233,TRUE
pf02UT4,fds,minimum score,156.5995369797432,0.3217424203562987,0.1318,0.8021163226415233,FALSE
pf03CP1,fds,minimum score,155.00751443891937,0.3765734903294393,0.0373,0.8021163226415233,FALSE
pf03CP2,fds,minimum score,158.6768227844863,0.31948994386681745,0.0533,0.8021163226415233,FALSE
pf03CP3,inflection,minimum score,144.1340474855645,0.2603917231601516,0.037700000000000004,0.8021163226415233,FALSE
pf03CP4,fds,minimum score,145.5389096106874,0.17480505565390275,0.034300000000000004,0.8021163226415233,FALSE
